rep,target_prevalence,actual_prevalence,n,algo,arm,auroc,brier,ece10,ece20,calib_slope,calib_intercept,mean_predicted,observed_rate,nb_at_prevalence,nb_at_0.20,nb_positive_up_to
1,0.1,0.1,6000,logreg,unweighted,0.7726,0.0815,0.0158,0.0165,0.971,-0.056,0.1,0.1,0.0407,0.0167,0.4
1,0.1,0.1,6000,logreg,weighted,0.7731,0.1908,0.3112,0.3112,0.862,-2.177,0.4112,0.1,0.0031,-0.0898,0.1
1,0.1,0.1,6000,logreg,weighted + Platt,0.7726,0.0814,0.0184,0.0196,0.998,-0.004,0.1,0.1,0.0413,0.0164,0.39
1,0.1,0.1,6000,logreg,weighted + isotonic,0.7636,0.0807,0.006,0.0081,0.888,-0.205,0.1001,0.1,0.0406,0.0211,0.4
1,0.1,0.1,6000,rf,unweighted,0.7742,0.0806,0.0062,0.0115,0.917,-0.155,0.1006,0.1,0.0436,0.0211,0.33
1,0.1,0.1,6000,rf,weighted,0.7701,0.1331,0.2,0.2,0.945,-1.612,0.3,0.1,0.0153,-0.0425,0.12
1,0.1,0.1,6000,rf,weighted + Platt,0.7691,0.0813,0.0108,0.0159,0.995,-0.008,0.0999,0.1,0.0425,0.0204,0.47
1,0.1,0.1,6000,rf,weighted + isotonic,0.7605,0.0809,0.0039,0.0088,0.917,-0.152,0.1,0.1,0.0424,0.0207,0.46
1,0.1,0.1,6000,hgb,unweighted,0.7549,0.0849,0.0291,0.0291,0.625,-0.63,0.0962,0.1,0.0396,0.0167,0.32
1,0.1,0.1,6000,hgb,weighted,0.7457,0.1486,0.1942,0.195,0.576,-1.776,0.2942,0.1,0.0227,-0.0318,0.13
1,0.1,0.1,6000,hgb,weighted + Platt,0.7439,0.0826,0.0076,0.0187,0.985,-0.027,0.0999,0.1,0.0367,0.0145,0.53
1,0.1,0.1,6000,hgb,weighted + isotonic,0.7371,0.0827,0.0065,0.0075,0.901,-0.185,0.0998,0.1,0.0389,0.0153,0.38
1,0.15,0.15,6000,logreg,unweighted,0.7999,0.1072,0.0287,0.0311,0.973,-0.04,0.15,0.15,0.0708,0.0587,0.49
1,0.15,0.15,6000,logreg,weighted,0.8008,0.1772,0.2552,0.2552,0.862,-1.71,0.4052,0.15,0.0169,-0.0244,0.16
1,0.15,0.15,6000,logreg,weighted + Platt,0.8004,0.1071,0.0305,0.0327,0.996,-0.007,0.1501,0.15,0.0711,0.059,0.49
1,0.15,0.15,6000,logreg,weighted + isotonic,0.7946,0.1044,0.005,0.0096,0.939,-0.081,0.15,0.15,0.0694,0.0585,0.51
1,0.15,0.15,6000,rf,unweighted,0.7988,0.1022,0.0107,0.0179,0.973,-0.033,0.1496,0.15,0.0742,0.0613,0.52
1,0.15,0.15,6000,rf,weighted,0.7955,0.1423,0.182,0.182,1.023,-1.306,0.332,0.15,0.029,-0.0013,0.19
1,0.15,0.15,6000,rf,weighted + Platt,0.7952,0.1033,0.0143,0.0238,0.999,-0.003,0.1501,0.15,0.0725,0.0607,0.51
1,0.15,0.15,6000,rf,weighted + isotonic,0.7894,0.103,0.0071,0.0131,0.936,-0.089,0.1501,0.15,0.0733,0.0615,0.49
1,0.15,0.15,6000,hgb,unweighted,0.7754,0.1078,0.0245,0.0275,0.714,-0.373,0.148,0.15,0.0672,0.0567,0.52
1,0.15,0.15,6000,hgb,weighted,0.7726,0.1554,0.1831,0.1869,0.708,-1.433,0.3331,0.15,0.035,0.007,0.21
1,0.15,0.15,6000,hgb,weighted + Platt,0.7722,0.1064,0.0228,0.0245,0.997,-0.005,0.15,0.15,0.0656,0.0565,0.54
1,0.15,0.15,6000,hgb,weighted + isotonic,0.7686,0.106,0.0057,0.0111,0.954,-0.065,0.1499,0.15,0.0662,0.0573,0.52
1,0.2,0.2,6000,logreg,unweighted,0.7748,0.1343,0.0292,0.0319,0.978,-0.027,0.2,0.2,0.0855,0.0855,0.56
1,0.2,0.2,6000,logreg,weighted,0.7754,0.19,0.233,0.233,0.897,-1.376,0.433,0.2,0.0243,0.0243,0.23
1,0.2,0.2,6000,logreg,weighted + Platt,0.7752,0.1343,0.0309,0.0328,1.001,0.001,0.2,0.2,0.0854,0.0854,0.57
1,0.2,0.2,6000,logreg,weighted + isotonic,0.7685,0.1328,0.0102,0.0177,0.943,-0.062,0.1998,0.2,0.0822,0.0822,0.54
1,0.2,0.2,6000,rf,unweighted,0.774,0.1321,0.0155,0.017,0.958,-0.048,0.2001,0.2,0.084,0.084,0.53
1,0.2,0.2,6000,rf,weighted,0.7747,0.1658,0.1723,0.1723,1.006,-1.07,0.3723,0.2,0.0429,0.0429,0.32
1,0.2,0.2,6000,rf,weighted + Platt,0.7746,0.1323,0.0181,0.0208,1.0,0.001,0.2,0.2,0.0822,0.0822,0.57
1,0.2,0.2,6000,rf,weighted + isotonic,0.7704,0.1324,0.0079,0.0116,0.896,-0.111,0.1994,0.2,0.0835,0.0835,0.57
1,0.2,0.2,6000,hgb,unweighted,0.7545,0.139,0.033,0.0332,0.696,-0.316,0.1961,0.2,0.0794,0.0794,0.52
1,0.2,0.2,6000,hgb,weighted,0.7498,0.1798,0.175,0.175,0.662,-1.154,0.3711,0.2,0.0499,0.0499,0.3
1,0.2,0.2,6000,hgb,weighted + Platt,0.7497,0.1381,0.0229,0.0233,1.0,0.0,0.2,0.2,0.078,0.078,0.54
1,0.2,0.2,6000,hgb,weighted + isotonic,0.7445,0.1374,0.0069,0.013,0.944,-0.064,0.1999,0.2,0.0799,0.0799,0.54
1,0.3,0.3,6000,logreg,unweighted,0.7721,0.167,0.0237,0.0323,0.986,-0.01,0.2999,0.3,0.1267,0.166,0.6
1,0.3,0.3,6000,logreg,weighted,0.7722,0.1914,0.1556,0.1556,0.96,-0.841,0.4556,0.3,0.0724,0.1416,0.6
1,0.3,0.3,6000,logreg,weighted + Platt,0.7717,0.1673,0.0252,0.0312,0.993,-0.006,0.3002,0.3,0.1263,0.1658,0.6
1,0.3,0.3,6000,logreg,weighted + isotonic,0.768,0.1667,0.01,0.0135,0.94,-0.043,0.3001,0.3,0.126,0.1668,0.6
1,0.3,0.3,6000,rf,unweighted,0.7707,0.1656,0.0169,0.0221,0.972,-0.021,0.3001,0.3,0.129,0.1609,0.6
1,0.3,0.3,6000,rf,weighted,0.7705,0.1821,0.1224,0.1224,0.996,-0.679,0.4224,0.3,0.0983,0.1474,0.6
1,0.3,0.3,6000,rf,weighted + Platt,0.7697,0.1662,0.0129,0.0191,0.994,-0.005,0.3001,0.3,0.1277,0.1634,0.6
1,0.3,0.3,6000,rf,weighted + isotonic,0.7661,0.1662,0.0104,0.0175,0.916,-0.062,0.3003,0.3,0.1306,0.1618,0.6
1,0.3,0.3,6000,hgb,unweighted,0.7513,0.174,0.0383,0.0404,0.737,-0.184,0.2995,0.3,0.1166,0.1542,0.6
1,0.3,0.3,6000,hgb,weighted,0.7524,0.1928,0.1302,0.1302,0.743,-0.744,0.4266,0.3,0.0909,0.1501,0.59
1,0.3,0.3,6000,hgb,weighted + Platt,0.7518,0.172,0.0234,0.027,0.991,-0.007,0.3001,0.3,0.118,0.1555,0.6
1,0.3,0.3,6000,hgb,weighted + isotonic,0.7482,0.1716,0.0097,0.0131,0.896,-0.078,0.3003,0.3,0.1198,0.1561,0.6
1,0.4,0.4,6000,logreg,unweighted,0.7821,0.1856,0.0345,0.0378,0.994,-0.002,0.3999,0.4,0.1732,0.2711,0.6
1,0.4,0.4,6000,logreg,weighted,0.7821,0.1905,0.077,0.0792,0.971,-0.402,0.477,0.4,0.1654,0.2652,0.6
1,0.4,0.4,6000,logreg,weighted + Platt,0.782,0.1857,0.0357,0.0382,1.0,0.0,0.4,0.4,0.1739,0.2713,0.6
1,0.4,0.4,6000,logreg,weighted + isotonic,0.7777,0.1842,0.0122,0.0131,0.945,-0.015,0.3995,0.4,0.1734,0.2679,0.6
1,0.4,0.4,6000,rf,unweighted,0.7893,0.1798,0.013,0.0199,1.004,0.002,0.3999,0.4,0.1791,0.2722,0.6
1,0.4,0.4,6000,rf,weighted,0.7894,0.1836,0.0601,0.0603,1.018,-0.324,0.4601,0.4,0.1724,0.2659,0.6
